region,household_size,household_income,electricity_use,electricity_cost,ng_use,ng_cost,total_energy_use,total_energy_cost
MIDWEST,2,15,30644.12,1453.87,878.28,753.06,120897.73,2206.93
MIDWEST,2,7,44714.98,1780.48,0.00,0.00,143178.99,3116.44
MIDWEST,2,15,23302.06,1195.25,551.14,624.80,78618.40,1820.05
SOUTH,2,13,76187.75,2308.33,0.00,0.00,76187.75,2308.33
NE,5,15,45760.58,2252.70,0.00,0.00,93046.18,3284.10
MIDWEST,1,4,25269.47,1207.93,640.28,523.16,90935.42,1731.09
SOUTH,4,11,68325.59,1638.52,103.81,250.27,78891.35,1888.56
MIDWEST,2,9,33996.80,1134.36,617.74,548.17,97878.23,1682.53
SOUTH,4,13,39930.57,1433.28,0.00,0.00,39930.57,1433.28
WEST,2,14,77470.65,2265.65,0.00,0.00,77470.65,2265.65
MIDWEST,5,15,41893.67,1423.38,0.00,0.00,111542.37,2421.73
NE,3,9,25086.43,1702.50,920.31,1204.07,119828.41,2906.57
NE,2,10,51345.53,2102.43,0.00,0.00,116401.98,3234.07
NE,1,11,10349.06,732.99,0.00,0.00,125087.87,2797.38
MIDWEST,2,3,25539.46,1395.97,557.90,530.16,83598.00,1926.13
NE,2,4,19743.23,1255.20,0.00,0.00,82232.09,2374.54
NE,5,15,25949.86,1610.98,1336.22,1693.38,161536.90,3304.36
WEST,1,9,13972.44,488.32,579.40,543.57,65195.30,1031.89
NE,2,9,92203.71,3291.18,0.00,0.00,127626.00,4176.73
MIDWEST,2,9,17557.24,577.00,668.87,439.20,85124.45,1016.20
SOUTH,1,8,23341.84,804.90,0.00,0.00,23341.84,804.90
SOUTH,3,16,19642.41,825.85,547.18,951.45,74096.61,1777.30
SOUTH,2,14,44599.47,1494.53,0.00,0.00,44599.47,1494.53
SOUTH,2,14,34212.80,1532.73,0.00,0.00,34212.80,1532.73
SOUTH,2,15,83869.40,3435.11,0.00,0.00,109820.77,4101.76
WEST,2,13,11940.89,1058.57,0.00,0.00,11940.89,1058.57
SOUTH,1,8,31943.59,953.45,84.27,112.83,40191.52,1064.58
WEST,4,15,112175.43,4614.37,0.00,0.00,112175.43,4614.37
WEST,4,13,54543.54,2058.12,1007.47,819.84,143675.28,2877.96
MIDWEST,1,11,33834.99,1589.51,0.00,0.00,81362.43,2446.01
SOUTH,7,13,17786.62,715.00,0.00,0.00,17786.62,715.00
WEST,2,11,16220.20,1615.25,0.00,0.00,16220.20,1615.25
SOUTH,2,13,29501.76,936.47,186.58,284.46,48341.21,1220.93
MIDWEST,3,16,147285.92,3835.89,2051.52,1483.39,357277.15,5319.28
NE,4,16,41558.24,1545.49,0.00,0.00,41558.24,1545.49
MIDWEST,2,16,39986.11,1712.30,0.00,0.00,120451.80,2606.52
WEST,1,15,19517.44,1156.25,354.75,456.17,54500.66,1612.42
WEST,2,13,35432.98,535.69,0.00,0.00,35432.98,535.69
SOUTH,6,1,36331.70,1088.52,385.78,442.44,75710.62,1530.96
WEST,2,12,23655.72,1499.04,153.44,207.75,38848.05,1706.79
NE,2,16,26779.65,1448.18,840.08,743.05,113785.18,2191.23
NE,2,9,16356.66,797.01,770.28,1127.89,92895.61,1924.90
NE,2,15,19161.28,1559.26,766.69,1504.64,98182.39,3063.90
NE,3,16,62731.24,3579.28,0.00,0.00,112082.11,4304.37
MIDWEST,4,16,34800.46,1203.13,616.06,738.50,96600.29,1941.63
NE,1,14,27940.27,1528.62,0.00,0.00,109619.69,3124.46
WEST,4,13,37953.07,2504.35,214.31,291.96,59833.00,2796.31
MIDWEST,2,13,9180.94,379.38,323.80,295.63,42869.27,675.01
MIDWEST,2,12,22438.05,903.53,432.87,519.96,66832.32,1423.49
SOUTH,3,15,68101.11,519.09,211.75,342.76,89667.39,861.85
WEST,1,14,15865.76,463.13,338.45,357.17,45320.24,820.30
NE,4,11,42100.37,1748.96,0.00,0.00,71326.00,2330.90
SOUTH,5,14,60194.43,2081.86,0.00,0.00,60194.43,2081.86
WEST,1,15,54037.20,2105.18,0.00,0.00,54037.20,2105.18
WEST,1,13,52806.43,1827.60,307.47,496.20,83099.51,2323.80
WEST,5,15,38928.27,1208.20,625.26,486.37,93189.53,1694.57
WEST,2,14,27967.55,1060.27,195.30,306.33,47043.48,1366.60
WEST,1,12,9446.33,676.61,1238.20,1431.03,130918.53,2107.64
WEST,2,9,23385.63,719.30,970.32,716.90,106526.96,1436.20
MIDWEST,3,12,49389.63,1933.35,676.48,595.73,117627.32,2529.08
SOUTH,4,6,35710.34,1244.96,1074.06,1161.00,149949.70,2405.96
NE,3,15,32352.95,1129.41,741.53,833.76,108199.03,1963.17
WEST,2,10,51859.32,2063.71,1482.69,1691.11,197285.32,3754.82
SOUTH,4,15,72407.87,2198.98,949.38,675.98,163567.87,2874.96
SOUTH,1,10,22631.31,805.50,11.64,124.98,23816.31,930.48
WEST,5,15,42384.91,1708.15,973.98,946.28,142084.22,2654.43
SOUTH,4,1,24658.30,833.77,0.00,0.00,46383.86,1263.39
MIDWEST,2,13,123862.99,2427.73,0.00,0.00,123862.99,2427.73
WEST,4,15,28673.16,2410.72,201.83,903.74,47204.67,3314.46
MIDWEST,2,13,53712.33,1927.67,0.00,0.00,53712.33,1927.67
SOUTH,2,15,46524.49,1899.25,427.09,736.05,89539.22,2635.30
NE,3,14,49052.06,3443.25,0.00,0.00,221411.54,6728.30
WEST,2,12,25979.91,2535.44,0.00,0.00,25979.91,2535.44
MIDWEST,1,13,12338.65,421.05,371.53,578.27,50851.47,999.32
NE,4,16,25594.35,1605.44,0.00,0.00,28176.01,1646.50
SOUTH,1,15,11918.75,484.36,8.14,13.82,18611.43,614.00
WEST,2,16,39767.59,1454.53,1291.18,667.78,151398.53,2122.31
NE,3,16,22634.48,970.10,756.32,691.41,99831.45,1661.51
NE,2,11,10545.46,541.03,0.00,0.00,10545.46,541.03
SOUTH,2,11,33711.40,1102.00,0.00,0.00,33711.40,1102.00
SOUTH,4,4,37738.94,1080.25,884.17,943.19,129011.32,2023.21
MIDWEST,3,1,75681.29,2241.01,473.89,316.52,123591.91,2557.53
NE,6,15,83987.39,3392.46,1408.96,1147.30,228754.35,4539.76
MIDWEST,4,16,31070.49,857.40,813.35,534.55,114184.40,1391.95
NE,1,6,18519.07,749.50,0.00,0.00,18519.07,749.50
WEST,2,7,45728.32,2953.87,7.29,8.50,46443.88,2962.37
MIDWEST,2,14,89319.50,2115.26,0.00,0.00,107181.85,2357.62
SOUTH,2,15,52316.79,1749.06,0.00,0.00,52316.79,1749.06
SOUTH,2,15,30917.33,996.00,0.00,0.00,77438.97,1984.28
SOUTH,2,15,40713.45,1514.37,0.00,0.00,64936.31,2656.74
WEST,3,14,51364.19,1668.82,1193.77,1186.20,176324.78,2855.02
SOUTH,3,15,51735.41,1990.27,678.87,845.44,121546.85,2835.71
MIDWEST,1,8,41350.59,1454.12,0.00,0.00,41350.59,1454.12
SOUTH,4,11,61178.71,1928.28,0.00,0.00,61178.71,1928.28
WEST,2,11,24643.64,728.23,629.42,391.26,83037.84,1119.49
MIDWEST,2,16,25734.77,995.90,957.35,849.97,125187.26,1845.87
WEST,1,6,31728.86,1100.21,297.75,394.01,60714.04,1494.22
WEST,4,2,55688.42,1521.14,0.00,0.00,55688.42,1521.14
WEST,7,6,117766.12,4530.14,0.00,0.00,117766.12,4530.14
WEST,2,13,60233.93,2211.08,443.05,465.81,100363.72,2676.89
SOUTH,6,10,77132.51,2484.18,0.00,0.00,77132.51,2484.18
SOUTH,4,12,58011.09,2237.17,379.76,432.06,96698.63,2669.23
SOUTH,6,15,56900.66,2125.21,19.23,37.45,58866.44,2162.66
MIDWEST,1,8,5894.37,327.94,0.00,0.00,5894.37,327.94
MIDWEST,2,14,15290.99,877.85,860.55,781.45,103460.31,1659.30
NE,2,11,71272.06,4093.20,0.00,0.00,71272.06,4093.20
SOUTH,1,15,8448.16,291.37,234.20,300.26,32312.59,591.63
SOUTH,4,7,23955.92,734.37,623.79,864.72,86346.42,1599.09
SOUTH,3,9,39386.84,1392.46,459.62,713.75,86944.57,2106.21
NE,4,16,12138.73,868.85,706.82,1156.95,84786.01,2025.80
SOUTH,1,15,30030.89,1101.70,263.51,454.57,57545.24,1556.27
WEST,2,15,44804.51,1662.38,1058.74,848.68,133715.44,2511.06
MIDWEST,2,14,20391.52,630.09,675.52,689.77,88870.56,1319.86
SOUTH,1,14,48039.44,1405.00,1756.93,1598.17,226553.63,3003.17
WEST,2,5,52282.13,1428.88,0.00,0.00,52282.13,1428.88
NE,2,13,31541.34,1256.42,0.00,0.00,31541.34,1256.42
NE,4,15,29931.54,1262.03,716.55,633.20,102407.01,1895.23
SOUTH,3,7,43797.08,1577.55,0.00,0.00,79965.90,2536.65
WEST,4,16,44805.75,1754.03,1071.65,839.23,140862.30,2593.26
SOUTH,4,14,74515.68,2044.56,0.00,0.00,74515.68,2044.56
SOUTH,2,14,42097.60,1362.73,0.00,0.00,42097.60,1362.73
WEST,3,13,30240.91,848.69,819.87,691.00,108000.28,1539.69
NE,2,15,28401.03,2307.85,962.74,1464.31,126988.44,3772.16
WEST,2,14,67295.77,2338.99,934.20,854.07,155607.12,3193.06
WEST,1,11,12312.07,693.39,213.52,259.79,34345.61,953.18
SOUTH,3,2,30588.44,1117.82,0.00,0.00,111335.69,2714.77
NE,7,16,39794.77,2665.35,1231.51,1877.13,166325.21,4542.48
NE,4,15,25499.84,1635.58,1215.65,1800.84,150486.47,3436.42
SOUTH,7,11,81266.74,2499.23,575.51,408.99,139711.26,2908.22
NE,2,9,19061.98,833.70,0.00,0.00,101767.10,1984.87
WEST,3,10,52432.40,2630.92,609.29,759.02,114732.53,3389.94
SOUTH,4,16,40680.02,1397.05,760.09,1053.66,116630.31,2450.71
WEST,7,15,75678.49,2776.47,419.14,583.21,116879.58,3359.68
SOUTH,1,16,31343.32,1067.56,29.34,48.61,34358.07,1116.17
MIDWEST,4,16,44673.37,1765.95,923.01,710.43,138971.76,2476.38
MIDWEST,1,15,9064.34,340.75,264.32,226.02,36119.49,566.77
MIDWEST,1,13,28374.17,1447.11,330.57,501.60,62560.81,1948.71
WEST,4,16,105120.45,3781.32,698.67,892.93,173471.71,4674.25
MIDWEST,1,10,23543.15,1250.73,1011.84,830.82,128380.29,2081.55
MIDWEST,1,7,29965.36,925.49,615.61,611.93,92467.94,1537.42
SOUTH,2,1,37936.70,1630.09,188.84,275.92,56693.34,1906.01
MIDWEST,1,7,5965.63,447.40,0.00,0.00,5965.63,447.40
MIDWEST,1,5,15777.15,550.77,970.80,686.87,116698.25,1237.64
MIDWEST,2,13,71300.75,2749.90,0.00,0.00,71300.75,2749.90
SOUTH,2,11,60435.33,2133.61,0.00,0.00,60435.33,2133.61
MIDWEST,3,16,16836.63,901.21,853.27,659.47,103608.62,1560.68
NE,1,5,25731.28,1379.46,0.00,0.00,25731.28,1379.46
MIDWEST,2,15,34625.82,1033.89,882.32,848.06,121321.05,1881.95
WEST,1,16,23208.54,727.53,413.40,572.89,67903.00,1300.42
MIDWEST,1,7,5212.35,141.72,0.00,0.00,5212.35,141.72
MIDWEST,1,10,21128.17,835.06,1239.69,993.68,149527.39,1828.74
NE,2,12,19376.45,677.30,807.36,804.04,97023.74,1481.34
SOUTH,5,9,63878.05,2056.88,0.00,0.00,63878.05,2056.88
MIDWEST,2,15,20862.36,811.36,580.10,442.29,76729.87,1253.65
NE,3,12,11606.52,1030.79,302.44,432.66,42826.51,1463.45
WEST,2,4,21247.70,1021.87,14.16,24.83,22709.47,1046.70
SOUTH,3,9,31633.74,909.29,0.00,0.00,31633.74,909.29
WEST,4,13,15584.81,877.83,637.19,1245.74,81398.48,2123.57
NE,1,11,37439.70,2335.68,0.00,0.00,37439.70,2335.68
NE,1,7,10164.31,747.30,0.00,0.00,77922.74,1952.89
SOUTH,2,13,50461.03,1832.40,565.71,618.19,107010.28,2450.59
WEST,1,8,29756.20,812.23,0.00,0.00,70167.47,1436.50
MIDWEST,3,12,56241.92,1627.84,0.00,0.00,56241.92,1627.84
MIDWEST,4,15,47997.30,1553.62,1940.17,2208.87,249043.74,3762.49
WEST,2,11,24136.98,1027.30,549.88,557.64,81193.31,1584.94
SOUTH,2,15,38191.53,1301.43,410.46,472.48,79957.97,1773.91
WEST,2,12,36760.44,1616.88,220.13,366.42,57234.76,1983.30
WEST,1,13,22772.69,432.90,1242.06,665.28,129944.08,1098.18
NE,2,15,9667.15,619.30,327.09,1734.59,43431.65,2353.89
MIDWEST,2,14,20226.96,837.31,939.83,675.95,115136.77,1513.26
MIDWEST,2,16,22270.05,701.82,1137.44,851.30,135757.89,1553.12
NE,2,14,33768.82,1310.06,1460.14,977.01,180795.81,2287.07
WEST,2,15,31742.99,2621.42,21.42,96.70,56480.93,3384.99
WEST,5,16,39068.89,1133.89,646.95,411.56,96987.01,1545.45
SOUTH,3,14,52485.54,1866.51,456.56,641.02,99535.81,2507.53
MIDWEST,2,16,39101.49,1365.00,1189.21,897.39,160824.58,2262.39
SOUTH,5,8,106370.29,3178.85,0.00,0.00,106370.29,3178.85
SOUTH,4,10,42842.27,1647.13,0.00,0.00,42842.27,1647.13
NE,4,12,36605.66,1304.34,0.00,0.00,36605.66,1304.34
MIDWEST,2,16,18290.20,696.54,441.19,342.33,63487.87,1038.87
NE,5,14,56878.74,2394.17,959.49,1388.23,155495.84,3782.40
WEST,5,13,39816.09,1228.44,924.82,791.21,121335.77,2019.65
MIDWEST,4,14,33144.60,1732.27,1021.80,796.52,136585.72,2528.79
SOUTH,2,16,23248.32,829.12,0.00,0.00,23248.32,829.12
MIDWEST,1,9,13037.80,539.71,686.34,710.72,82588.21,1250.43
SOUTH,1,1,3637.86,116.62,180.18,181.41,22444.13,298.03
SOUTH,1,12,28268.25,968.38,0.00,0.00,28268.25,968.38
MIDWEST,3,14,14228.47,711.54,848.25,734.55,102147.80,1446.09
SOUTH,4,15,61843.73,2490.01,0.00,0.00,61843.73,2490.01
SOUTH,1,5,44514.36,1491.81,0.00,0.00,85133.81,2431.62
SOUTH,3,14,28799.34,1021.44,575.08,649.78,87378.60,1671.22
MIDWEST,4,15,35680.22,1330.96,791.38,543.02,115803.82,1873.98
WEST,2,14,27950.71,2157.48,434.37,586.44,72503.11,2743.92
WEST,2,15,12668.22,721.17,1439.31,775.78,128969.37,1496.95
WEST,3,3,59032.63,1689.06,0.00,0.00,59032.63,1689.06
NE,2,13,22427.37,507.40,0.00,0.00,91200.15,2296.59
MIDWEST,3,4,32499.87,1396.23,555.10,617.75,87726.28,2013.98
SOUTH,1,13,19285.28,724.26,19.47,24.66,21275.96,748.92
SOUTH,1,9,17632.75,551.65,0.00,0.00,17632.75,551.65
SOUTH,2,10,17406.07,453.44,140.98,226.69,31792.85,680.13
WEST,2,16,17780.00,610.19,218.63,291.72,39888.93,901.91
NE,2,13,16853.11,717.49,0.00,0.00,166313.02,3415.15
WEST,2,7,26032.49,1991.41,657.41,1207.81,93694.18,3199.22
SOUTH,2,16,15584.27,576.42,0.00,0.00,15584.27,576.42
WEST,1,15,13705.84,866.38,0.00,0.00,13705.84,866.38
MIDWEST,1,5,18371.10,571.65,0.00,0.00,18371.10,571.65
SOUTH,3,6,39189.17,1289.15,0.00,0.00,39189.17,1289.15
MIDWEST,5,14,24322.23,1006.83,675.64,392.01,92511.52,1398.84
SOUTH,2,10,72568.01,2438.05,0.00,0.00,109944.04,3047.69
MIDWEST,6,14,41750.86,1728.30,1373.73,830.44,180776.53,2558.74
WEST,3,16,38453.47,2619.21,1322.75,2078.73,169267.42,4697.94
SOUTH,6,6,46675.92,1841.68,456.65,610.41,92647.05,2452.09
MIDWEST,2,16,27488.77,1447.49,906.23,758.00,121316.51,2205.49
MIDWEST,1,6,19701.32,653.18,0.00,0.00,19701.32,653.18
SOUTH,4,15,74702.47,2395.86,0.00,0.00,74702.47,2395.86
SOUTH,1,10,22984.48,879.69,0.00,0.00,22984.48,879.69
WEST,1,5,34445.95,1101.41,0.00,0.00,34445.95,1101.41
SOUTH,2,9,40514.23,1580.19,0.00,0.00,40514.23,1580.19
MIDWEST,1,13,25201.74,881.44,669.30,731.99,92334.12,1613.43
MIDWEST,7,15,42275.36,1277.52,1026.63,681.01,144904.99,1958.53
MIDWEST,1,8,39882.76,1392.27,1166.76,1015.55,160497.98,2407.82
MIDWEST,3,16,39980.71,1395.69,895.39,689.03,133418.09,2084.72
NE,3,13,21220.42,675.96,136.55,308.93,34890.42,984.89
SOUTH,1,7,25139.94,669.61,473.15,459.70,67498.49,1129.31
WEST,3,15,12342.39,457.99,893.24,847.14,108150.03,1305.13
NE,5,16,28717.60,1404.37,0.00,0.00,213950.48,4692.61
WEST,2,15,21686.33,1337.48,399.02,513.89,60983.13,1851.37
NE,5,14,39523.05,958.85,0.00,0.00,192091.59,3963.36
NE,1,2,27673.34,1191.97,0.00,0.00,65718.91,1777.15
NE,2,9,22920.88,753.80,0.00,0.00,77899.02,1607.41
SOUTH,3,14,78005.03,3041.97,0.00,0.00,78005.03,3041.97
SOUTH,3,15,45003.14,1431.04,631.65,611.34,108372.96,2042.38
WEST,7,13,36086.68,1327.54,236.27,373.17,59498.07,1700.71
SOUTH,2,6,24958.89,1032.17,118.68,498.27,37073.35,1530.44
NE,2,16,15405.74,1048.18,723.94,1065.86,89171.00,2114.04
SOUTH,3,12,66738.48,1937.87,0.00,0.00,66738.48,1937.87
WEST,3,15,30240.43,1020.94,626.15,796.49,97432.26,1817.43
SOUTH,2,9,29568.18,1122.61,0.00,0.00,29568.18,1122.61
WEST,2,12,33664.96,1447.64,606.44,426.98,84651.08,1874.62
WEST,4,14,22475.17,1453.55,0.00,0.00,22475.17,1453.55
WEST,2,13,58744.31,1932.33,0.00,0.00,58744.31,1932.33
SOUTH,4,15,45358.65,1484.92,561.31,396.45,101259.90,1880.45
NE,3,16,19584.59,1044.85,1139.64,963.01,136707.81,2007.86
MIDWEST,2,14,22369.22,1264.98,2088.34,1489.85,235475.59,2754.83
WEST,2,9,6424.51,385.18,220.52,224.22,29415.32,609.40
SOUTH,1,6,41391.62,1579.37,0.00,0.00,84576.38,2969.52
SOUTH,2,15,54452.11,1958.18,483.32,749.35,104625.30,2707.53
MIDWEST,4,13,25956.55,1074.38,876.68,832.73,112843.37,1907.11
WEST,3,15,37891.11,2173.88,0.00,0.00,37891.11,2173.88
SOUTH,1,12,12504.39,450.64,0.00,0.00,12504.39,450.64
SOUTH,4,15,55392.65,2097.36,822.11,1191.77,140769.79,3289.13
MIDWEST,1,13,14460.68,707.33,947.55,677.09,110252.85,1384.42
SOUTH,1,6,9835.45,454.00,0.00,0.00,9835.45,454.00
NE,1,14,14592.19,819.17,733.28,816.26,93067.15,1744.62
SOUTH,2,14,24174.62,1110.00,586.11,708.85,82702.98,1818.85
MIDWEST,5,6,12508.44,675.68,839.75,778.20,99380.68,1453.88
WEST,2,12,46220.00,2080.72,0.00,0.00,48557.46,2139.28
MIDWEST,1,9,91019.88,2245.42,12.60,6.35,92327.18,2251.77
MIDWEST,2,9,20477.73,665.87,656.82,718.33,88775.48,1382.93
SOUTH,5,15,68610.90,2231.01,251.08,628.14,94249.92,2859.15
WEST,1,12,44734.65,1282.98,0.00,0.00,44734.65,1282.98
MIDWEST,3,1,17504.12,646.49,608.55,510.38,78901.18,1156.87
SOUTH,1,8,17214.72,1022.45,363.18,547.58,53334.69,1570.03
SOUTH,1,10,42469.65,1389.54,90.64,197.32,51765.58,1586.86
NE,3,10,24569.41,1410.75,0.00,0.00,79953.38,2836.14
MIDWEST,2,14,11765.10,410.71,1170.49,1001.31,131988.68,1412.02
NE,1,15,25265.21,2025.25,659.50,898.37,93153.84,2923.62
SOUTH,2,9,64152.84,2058.40,0.00,0.00,64152.84,2058.40
NE,2,14,9111.33,802.58,25.20,374.79,49401.95,1978.66
SOUTH,1,12,28191.98,1073.85,0.00,0.00,28191.98,1073.85
MIDWEST,2,11,17940.90,697.92,449.73,513.92,62649.12,1211.84
WEST,2,15,24985.39,1172.95,371.62,479.78,62116.50,1652.73
MIDWEST,4,16,134193.07,4256.23,0.00,0.00,134193.07,4256.23
NE,3,16,68147.74,4148.91,0.00,0.00,68147.74,4148.91
NE,2,14,37390.53,1647.71,0.00,0.00,258521.31,5309.99
SOUTH,2,11,67012.11,2240.60,0.00,0.00,67012.11,2240.60
NE,4,15,40581.48,1483.58,729.03,804.27,115299.46,2287.85
WEST,2,12,28687.23,1407.05,133.33,284.83,41656.14,1691.88
MIDWEST,3,10,94467.48,3238.34,967.89,1031.13,194978.08,4269.47
MIDWEST,6,16,34500.96,1400.16,667.16,531.16,102067.92,1931.32
SOUTH,1,9,68535.28,2248.18,0.00,0.00,68535.28,2248.18
WEST,2,14,34941.25,1218.58,937.67,757.03,118692.17,1975.61
WEST,1,12,28459.67,1284.49,336.59,458.81,59449.69,1743.30
SOUTH,1,10,4093.76,407.94,60.91,222.95,46279.64,1340.28
SOUTH,4,7,57554.87,1618.82,0.00,0.00,57554.87,1618.82
MIDWEST,2,11,18361.05,696.69,546.37,536.88,74273.48,1233.57
WEST,2,13,41325.58,1520.10,0.00,0.00,41325.58,1520.10
SOUTH,2,5,42794.63,1520.33,0.00,0.00,42794.63,1520.33
WEST,2,11,11350.82,492.94,511.37,449.59,56352.61,942.53
SOUTH,1,11,23713.00,943.83,644.70,756.20,87285.24,1700.03
WEST,2,15,41837.06,1091.47,106.67,518.30,51736.16,1609.77
MIDWEST,1,9,13638.11,611.41,586.50,538.61,73723.92,1150.02
MIDWEST,3,14,31356.09,1072.90,500.86,571.03,81138.50,1643.93
NE,4,16,34970.96,2135.68,750.41,1056.32,111668.84,3192.00
WEST,3,16,14008.73,841.84,250.55,387.16,39701.05,1229.00
SOUTH,3,16,65288.38,2198.99,0.00,0.00,65288.38,2198.99
NE,1,9,8402.94,334.96,0.00,0.00,8402.94,334.96
SOUTH,1,14,25414.84,883.86,0.00,0.00,25414.84,883.86
WEST,5,16,46293.02,3835.05,0.00,0.00,46293.02,3835.05
SOUTH,2,8,24021.03,997.38,475.68,537.25,74243.49,1534.63
WEST,2,16,39176.30,1301.66,0.00,0.00,44576.74,1427.79
NE,1,7,8596.98,752.59,318.07,386.72,40235.64,1139.31
MIDWEST,1,4,14936.46,655.72,512.54,507.94,65476.86,1163.66
NE,2,16,232839.44,10021.91,11091.03,8154.98,1367548.13,18176.89
SOUTH,2,5,41940.23,1617.00,197.99,322.91,61743.14,1939.91
SOUTH,3,7,71765.92,2360.32,0.00,0.00,71765.92,2360.32
NE,1,9,10550.38,588.48,345.03,369.72,46276.45,958.20
MIDWEST,3,13,22360.48,1178.13,1411.76,1113.13,168320.18,2291.26
SOUTH,2,10,48389.28,1362.41,146.09,235.88,63296.25,1598.29
SOUTH,3,1,17811.44,641.57,218.01,360.08,39821.33,1001.65
WEST,1,3,5605.31,466.22,460.90,440.88,44059.91,907.10
NE,2,15,28392.35,1336.45,0.00,0.00,89342.39,3878.25
WEST,2,11,25046.90,904.42,813.86,597.27,104761.10,1501.69
MIDWEST,6,16,47197.36,3198.35,1611.70,1242.61,212878.07,4440.96
SOUTH,4,10,68307.14,2120.84,838.82,915.58,154959.19,3036.18
WEST,2,14,26350.59,1314.95,0.00,0.00,85749.66,2305.85
MIDWEST,1,10,9984.01,662.28,355.95,417.01,46859.32,1079.29
SOUTH,1,16,33306.32,1155.18,272.65,398.82,61085.50,1554.00
SOUTH,4,14,25350.23,844.50,714.96,914.37,96957.61,1758.87
WEST,1,9,15728.05,630.13,0.00,0.00,66480.27,2390.60
SOUTH,2,10,39995.58,1555.07,0.00,0.00,39995.58,1555.07
SOUTH,1,1,22212.22,989.57,0.00,0.00,22212.22,989.57
NE,4,16,50826.93,3114.33,0.00,0.00,110312.10,3902.97
SOUTH,3,15,42008.42,1605.68,222.32,374.36,64080.21,1980.04
WEST,1,8,18112.17,668.79,188.86,278.48,35965.17,947.27
SOUTH,2,14,63082.56,2158.34,125.89,286.32,75822.04,2444.66
SOUTH,1,14,25763.49,862.86,0.00,0.00,25763.49,862.86
WEST,1,11,7732.15,237.21,254.96,413.39,35094.49,650.60
SOUTH,2,16,148368.67,4328.15,1055.53,720.35,252990.89,5048.50
MIDWEST,1,9,22649.21,1210.89,437.91,442.08,67977.82,1652.97
MIDWEST,2,10,26184.37,996.13,0.00,0.00,26184.37,996.13
WEST,3,13,53957.59,1543.98,318.44,370.55,86062.81,1914.53
SOUTH,2,15,54464.06,2038.80,1236.51,1376.28,181754.07,3415.08
SOUTH,1,2,18284.37,648.25,0.00,0.00,18284.37,648.25
SOUTH,1,11,14033.04,704.18,319.25,585.26,46193.40,1289.44
WEST,2,15,26370.28,965.08,415.17,597.23,65558.89,1562.31
SOUTH,2,12,43174.70,1403.90,0.00,0.00,43174.70,1403.90
NE,1,11,11647.13,406.59,696.95,749.99,83854.72,1156.58
SOUTH,4,15,73297.24,1919.55,867.01,904.13,161344.34,2823.68
SOUTH,2,15,50579.82,1468.24,0.00,0.00,50579.82,1468.24
SOUTH,2,13,10595.19,573.72,313.71,570.65,42443.66,1144.37
SOUTH,2,9,76219.41,2050.19,0.00,0.00,76219.41,2050.19
MIDWEST,4,15,37855.03,1501.16,620.47,546.27,99732.02,2047.43
NE,1,7,17239.67,842.20,0.00,0.00,17239.67,842.20
SOUTH,7,12,51303.67,1079.68,0.00,0.00,99081.22,2207.29
NE,2,15,20890.93,1315.70,1398.77,1907.80,164290.16,3223.50
MIDWEST,3,13,26113.91,1031.73,0.00,0.00,101802.57,2137.03
WEST,3,3,65993.63,1823.09,0.00,0.00,65993.63,1823.09
SOUTH,1,9,31364.99,1011.37,619.86,600.51,93771.31,1611.88
WEST,2,15,71865.65,2567.03,0.00,0.00,73578.26,2609.93
WEST,1,8,7658.07,242.30,91.51,146.94,17059.38,389.24
MIDWEST,2,16,34649.00,1434.32,1039.64,697.64,139501.06,2131.96
MIDWEST,2,15,71729.83,1808.74,1264.47,831.63,200181.88,2640.37
NE,1,7,9036.69,605.23,261.07,368.67,35817.05,973.90
NE,4,16,50044.17,-78.15,0.00,0.00,93216.31,1641.11
SOUTH,2,14,12602.51,446.18,421.33,605.38,55961.39,1051.56
WEST,3,14,30396.89,1052.74,7.92,9.63,31206.48,1062.37
MIDWEST,2,6,16099.23,717.21,572.20,422.56,74975.99,1139.77
NE,3,16,30962.79,2101.97,1014.61,1400.71,134788.26,3502.68
SOUTH,3,10,44287.59,1635.29,7.79,8.37,45082.95,1643.66
SOUTH,1,12,29541.00,1066.53,0.00,0.00,29541.00,1066.53
SOUTH,2,6,36369.13,1450.28,171.73,211.83,53397.80,1662.11
MIDWEST,1,6,8344.10,291.28,498.82,453.45,60119.21,744.73
SOUTH,4,15,52471.37,1852.59,0.00,0.00,52471.37,1852.59
SOUTH,7,12,63602.11,2099.77,1927.86,1307.87,235772.81,3407.64
SOUTH,3,7,35552.10,1326.73,466.46,483.06,81996.67,1809.79
SOUTH,1,12,15590.57,675.82,182.05,235.33,33865.42,911.15
SOUTH,1,9,18281.27,680.26,0.00,0.00,22042.18,779.99
SOUTH,4,16,23286.45,1122.49,595.32,761.86,84876.49,1884.35
MIDWEST,1,16,18095.88,952.78,517.87,392.45,70672.49,1345.23
NE,1,16,18831.27,863.87,0.00,0.00,18831.27,863.87
WEST,2,12,28346.32,1002.75,548.88,476.07,77365.61,1478.82
WEST,1,15,13200.35,757.33,805.44,1480.15,94874.53,2237.48
MIDWEST,4,15,24167.08,835.35,423.35,426.72,66820.49,1262.07
NE,3,13,17077.09,867.74,859.06,863.42,102578.62,1731.16
WEST,3,12,51578.58,1873.12,0.00,0.00,51578.58,1873.12
SOUTH,5,13,22728.99,855.39,0.00,0.00,22728.99,855.39
